District,Inc2024,Party2024,P2012,P2016,P2020,Candidate2022,e2022Results,P2020old,Redistricted
TX3,Self,R,-38.95,-27.67,-14.64,Self,-23.6,-14.64,
TX4,Fallon,R,-40.89,-36.05,-26.29,Fallon,-35.8,-26.29,
TX5,Gooden,R,-31.52,-29.91,-22.71,Gooden,-30.1,-22.71,
TX6,Ellzey,R,-34.05,-32.45,-24.25,Ellzey,,-24.25,
TX7,Fletcher,D,7.51,31.52,30.15,Fletcher,27.6,30.15,
TX8,Luttrell,R,-43.53,-33.2,-27.54,Luttrell,-37.6,-27.54,
TX9,Green,D,50.7,59.2,54.01,Green,53.4,54.01,
TX10,McCaul,R,-34.59,-27.87,-19.13,McCaul,-29,-19.13,
TX11,Pfluger,R,-45.21,-44,-40.92,Pfluger,,-40.92,
TX12,OPEN,,-31.56,-27.04,-18.44,,-28.6,-18.44,
TX13,Jackson,R,-54.16,-53.75,-46.23,Jackson,-50.8,-46.23,
TX14,Weber,R,-27.69,-29.53,-28.93,Weber,-40.4,-28.93,
TX15,Cruz,R,12.83,13.73,-2.91,Cruz,-8.5,-2.91,
TX16,Escobar,D,31.51,44.51,35.97,Escobar,27,35.97,
TX17,Sessions,R,-29.37,-29.62,-22.89,Sessions,-33,-22.89,
TX18,Lee,D,44.64,53.81,49.21,Lee,44.5,49.21,
TX19,Arrington,R,-48.75,-50.83,-46.9,Arrington,,-46.9,
TX20,Castro,D,25.69,33.92,33.64,Castro,36.8,33.64,
TX21,Roy,R,-37.32,-29.47,-20,Roy,-25.6,-20,
TX22,Nehls,R,-38.77,-25.3,-16.28,Nehls,-26.7,-16.28,
TX23,Gonzales,R,-11.13,-4.32,-7.28,Gonzales,-17.1,-7.28,
TX24,Duyne,R,-39.81,-25.18,-12.55,Duyne,-19.4,-12.55,
TX25,Williams,R,-38.79,-38.48,-31.6,Williams,,-31.6,
TX26,OPEN,,-41.81,-32.29,-18.81,,,-18.81,
TX27,Cloud,R,-20.19,-22.53,-22.73,Cloud,-28.8,-22.73,
TX28,Cuellar,D,21.8,20.02,7.13,Cuellar,13.4,7.13,
TX29,Garcia,D,36.3,51.5,37.17,Garcia,42.8,37.17,
TX30,Crockett,D,55.41,57.91,57.45,Crockett,53,57.45,
TX31,Carter,R,-37.35,-31.94,-20.63,Carter,,-20.63,
TX32,OPEN,,11.25,27.5,33.53,,30.8,33.53,
TX33,Veasey,D,44.04,53.45,50.61,Veasey,46.4,50.61,
TX34,Gonzalez,D,37.65,37.62,15.68,Gonzalez,9.5,15.68,
TX35,Casar,D,36.83,45.14,46.06,Casar,45.2,46.06,
TX36,Babin,R,-37.38,-34.44,-32,Babin,-39,-32,
TX37,Doggett,D,29.24,48.74,53.82,Doggett,55.7,53.82,
TX38,Hunt,R,-42.57,-28.07,-18.38,Hunt,-27.5,-18.38,
UT1,Moore,R,-46.87,-21.01,-20.45,Moore,-34,-20.45,
UT2,Stewart,R,-42.03,-20.82,-17.8,Stewart,-25.7,-17.8,
UT3,OPEN,,-54.04,-27.76,-20.36,,-34.9,-20.36,
UT4,Owens,R,-56.32,-30.28,-27.11,Owens,-28.9,-27.11,
VA1,Wittman,R,-20.07,-14.51,-6.79,Wittman,-13.1,-6.79,
VA2,Kiggans,R,-3.44,-5.86,2.09,Kiggans,-3.4,2.09,
VA3,Scott,D,37.82,35.15,38.86,Scott,34.6,38.86,
VA4,McEachin,D,31.51,32.9,36.3,McEachin,30,36.3,
VA5,OPEN,,-9.14,-11.91,-8.39,,-15.4,-8.39,
VA6,Cline,R,-18.63,-27.2,-22.54,Cline,-29,-22.54,
VA7,OPEN,,3.81,2.3,6.86,,4.9,6.86,
VA8,Beyer,D,36.55,55.54,56.83,Beyer,48.7,56.83,
VA9,Griffith,R,-29.83,-43.16,-42.51,Griffith,-46.7,-42.51,
VA10,OPEN,,-0.54,8.13,18.36,,6.4,18.36,
VA11,Connolly,D,17.94,36.49,41.88,Connolly,33.7,41.88,
VTAL,Balint,D,36.5,30.37,36.6,Balint,34.8,36.6,
WA1,DelBene,D,19.31,27.97,31.48,DelBene,27.1,31.48,
WA2,Larsen,D,16.71,19.52,23.55,Larsen,20.4,23.55,
WA3,Perez,D,-1.54,-8.21,-4.31,Perez,0.8,-4.31,
WA4,NewHouse,R,-20.77,-23.31,-17.39,NewHouse,-35.3,-17.39,
WA5,OPEN,,-11.05,-15.31,-10.27,,-19.3,-10.27,
WA6,OPEN,,14.84,13.04,17.75,,20.1,17.75,
WA7,Jayapal,D,65.74,76.64,77.07,Jayapal,71.2,77.07,
WA8,Schrier,D,2.56,3.51,6.9,Schrier,6.9,6.9,
WA9,Smith,D,37.52,46.77,45.96,Smith,43.4,45.96,
WA10,Strickland,D,16.41,14.34,18.26,Strickland,14.1,18.26,
WI1,Steil,R,5.28,-2.84,-2.04,Steil,-8.9,-2.04,
WI2,Pocan,D,35.69,40.24,42.34,Pocan,44.1,42.34,
WI3,Orden,R,11.31,-4.79,-4.76,Orden,-3.7,-4.76,
WI4,Moore,D,48.45,52.73,53.74,Moore,52.7,53.74,
WI5,Fitzgerald,R,-30,-28.82,-23.21,Fitzgerald,-28.8,-23.21,
WI6,Grothman,R,-7.44,-18.37,-15.92,Grothman,,-15.92,
WI7,Tiffany,R,-2.62,-21.52,-20.27,Tiffany,-23.8,-20.27,
WI8,Gallagher,R,-3.43,-18.22,-15.74,,,-15.74,
WV1,Miller,R,-28.14,-45.36,-41.55,Miller,-37.9,-41.55,
WV2,OPEN,,-26.53,-43.28,-37.69,,-31.1,-37.69,
WYAL,Hageman,R,-42.32,-51.41,-44.96,Hageman,-43.8,-44.96,
